My abdomen hurts.,Abdominal pain
I have pain in my lower stomach area.,Abdominal pain
My gut feels uncomfortable.,Abdominal pain
There is a sharp feeling in my bowels.,Abdominal pain
I feel nervous.,Anxiety
I worry about the future.,Anxiety
I can't stop feeling anxious.,Anxiety
I am jittery and uneasy.,Anxiety
My back hurts.,Back pain
I have a sore back.,Back pain
Lying down on my back is painful.,Back pain
I have tightness in my upper back.,Back pain
My eyes are burning.,Burning eyes
My eyes are burning.,Burning eyes
There is a stinging sensation in my eyes.,Burning eyes
My eyes feel like they are on fire.,Burning eyes
My throat burns.,Burning in the throat
My throat is burning.,Burning in the throat
Swallowing is painful like a fire.,Burning in the throat
My throat won't stop hurting.,Burning in the throat
My cheeks are swelling.,Cheek swelling
My cheeks look super puffy.,Cheek swelling
My face looks bigger than usual.,Cheek swelling
The sides of my face are inflamed.,Cheek swelling
I have pain in my chest.,Chest pain
My chest hurts.,Chest pain
My chest is painful.,Chest pain
My chest hurts like a burning sensation.,Chest pain
My chest feels tight.,Chest tightness
My chest feels tight.,Chest tightness
My upper body is tight and uncomfortable.,Chest tightness
My upper body is tight and uncomfortable.,Chest tightness
I feel cold and chilly.,Chills
I can't stop shivering even with the covers on.,Chills
I keep getting chills.,Chills
I am having consistent chills.,Chills
I keep sweating and it makes me feel cold.,Cold sweats
I sweat even when it is not hot.,Cold sweats
I have cold sweats.,Cold sweats
I won't stop sweating.,Cold sweats
I've been coughing for a few days.,Cough
I can't stop coughing.,Cough
My cough has been getting worse.,Cough
I lost my voice from coughing.,Cough
I feel dizzy.,Dizziness
Sometimes I feel like I will faint.,Dizziness
I have a hard time focusing and my vision phases in and out.,Dizziness
I am feeling lightheaded.,Dizziness
I can't keep my eyes open.,Drooping eyelid
My eyelids are droopy.,Drooping eyelid
My eyelids droop even when I am not sleepy.,Dropping eyelid
My eyelids are droopy.,Drooping eyelid
My eyes feel dry.,Dry eyes
I need to use eyedrops because my eyes are so dry.,Dry eyes
My eyes are not moist.,Dry eyes
My eyes hurt from dryness.,Dry Eyes
